Screen Name,Text,Language,Tweet Type
RudigerL6,"RT @Adrian11192493 : Das chinesische Horror-Regime agiert immer frecher. Die Weltherrschaft wird angestrebt. Eine Welt, in der niemand mehr frei ist &amp; alles überwacht wird. Und wir versuchen weiter naiv &amp; gierig mit #Peking zu dealen &amp; verhökern Infrastruktur &amp; Knowhow. #China #XiJinping https://t.co/yrC8CpufbD",de,Retweet
kear_char,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
PonsSublicius,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Infidale2,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
scott141121,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
LuisZaz82853100,"RT @lajornadaonline : #LaMañanera @lopezobrador_ adelantó que enviará una nueva carta al presidente chino #XiJinping, para plantearle, de manera respetuosa, la existencia de este cargamento. https://t.co/qQviFPKW3t",es,Retweet
katie_slane,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
DanTheRocheMan,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
PearlyG45506534,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
figward,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
CynDusen,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
WendieThompson,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
WendyBi86452456,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Josias_Siix,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
GordonGChang,#XiJinping is turning #China into the world’s largest prison.,en,Tweet
QQueMexico,"El mandatario enviará una nueva carta al presidente de #China, #XiJinping , para reiterar su solicitud de apoyo para combatir el tráfico ilegal de #fentanilo .
https://t.co/UD1MuvX6hr a través de Revista Q Mx con lo mejor de espectáculos y sociales #RevistaQ #Noticias #México",es,Tweet
TheZoogger,"RT @MarianKamensky1 : PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Retweet
hubert_wenzl,"RT @Adrian11192493 : Das chinesische Horror-Regime agiert immer frecher. Die Weltherrschaft wird angestrebt. Eine Welt, in der niemand mehr frei ist &amp; alles überwacht wird. Und wir versuchen weiter naiv &amp; gierig mit #Peking zu dealen &amp; verhökern Infrastruktur &amp; Knowhow. #China #XiJinping https://t.co/yrC8CpufbD",de,Retweet
nordstjarna,"RT @Lanaroske1 : @EevaPaavilainen @MFA_China @AmbLiuXiaoMing @AmbCuiTiankai @Amb_ChenXu @Amb_Yiming @Ambassador_Liu @CGTNOfficial 
#President #Xijinping 
这些网上的猫咪折磨者正在羞辱你的国家！这些人需要被阻止！请制定#Animalprotectionlaws，并追究这些肇事者的责任

谢谢 https://t.co/HK1zPRqZM6",zh,Retweet
thestranger515,"who would imagine a guy like Mao was a sexual pervert, and didn't brush his teeth
Is China’s 🇨🇳 Xi Jinping The Same ? 
Is #XiJinping a New Mao ?
#习近平操你妈

@globaltimesnews  
 https://t.co/v0aGG1htIJ",en,Tweet
emeequis,"Por su parte, la administración de #XiJinping aseguró que no hay tráfico ilegal de fentanilo hacia #México. #MaoNing declaró “#EU debe afrontar sus propios problemas y tomar medidas más sustantivas para reforzar la regulación dentro de sus fronteras y reducir la demanda”.",es,Reply
FWWinterberg,"RT @MarianKamensky1 : PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Retweet
MahoganyAmaya,"RT @jenniferzeng97 : Banned by #YouTube! So I am posting the entire thing here.  
Facilities in #China Are Converted to “Dual-Use for Peace and Emergency”. What Is the Purpose?
(Plus, seems nobody has reported on this important yet. Turn on the CC)
Another sign that #XiJinping and the #CCP could be… https://t.co/QUufO7Apir https://t.co/IuDpVHkU6j",en,Retweet
RealPhatsBlog,"Press group: China biggest global jailer of journalists
#AsiaPacific #China #HongKong #Police #Beijing #SecurityLaw #Police #Extradition #CarrieLam #XiJinping #CivilRights #Politics #Democracy #COVID19 #Media
https://t.co/N1a1oJU6ev",en,Tweet
politica_tiempo,"#China y su imparable ascenso #Tecnologia #Ingenieria 
#XiJinping y su visión del #Desarrollo compartido para toda la #Humanidad https://t.co/AWU7Qte1dk",es,Tweet
mora_hurtado,"RT @VisionTimesEsp : 🚨#CHINA
Crece el desempleo en China
Reviven políticas de Mao
La provincia más rica de China decide enviar a 300.000 jóvenes al campo
#Guandong #CCP #XiJinping https://t.co/rWRJybNQkp",es,Retweet
MarliesMarlowO2,"RT @TibetPeople : Tens &amp; thousands of people from all over the world who support His Holiness the Dalai Lama are coming out in the streets &amp; shops are closed. They’re protesting against the Communist China &amp; those medias who have made false statements!

#FreeTibet #XiJinping #WeStandWithDalaiLama https://t.co/BUAlrHccdJ",en,Retweet
licfer_lealm,"@MLopezSanMartin Pruebas pero en su contra. #XiJinping 
#mexico",es,Reply
ElBoboGaucho,"@Le_Figaro La nationale-socialiste #LePen trop molle
Le #raciste multirécidiviste #Zemmour très respectable
La #neofasciste Meloni trop laxiste
C'est quoi la prochaine sortie du shérif de la Macronie #Darmanin, #XiJinping  manque de fermeté  face aux #ouïghours ?
#honte",fr,Reply
Antonio60383143,"RT @lajornadaonline : #LaMañanera @lopezobrador_ adelantó que enviará una nueva carta al presidente chino #XiJinping, para plantearle, de manera respetuosa, la existencia de este cargamento. https://t.co/qQviFPKW3t",es,Retweet
SLam43510346,"RT @thecfhk : Thank you for featuring #JimmyLai on #WorldPressFreedomDay, @NRO. 

#XiJinping, #HongKong, and the Chinese Communist Party should immediately release 75-year-old Lai who has been detained under questionable charges for 853 days. #FreeJimmyLai https://t.co/UiTvk9yk3f",en,Retweet
a315814120,RT @ChinaDaily : Thursday marks China's Youth Day. President Xi Jinping attaches great importance to the growth of youth and particularly urges the young people to contribute to national rejuvenation. Here are some highlights of his quotes on youth. #XiJinping #XiSays https://t.co/1qPQsg4QvR,en,Retweet
kuri_der,"RT @Adrian11192493 : Das chinesische Horror-Regime agiert immer frecher. Die Weltherrschaft wird angestrebt. Eine Welt, in der niemand mehr frei ist &amp; alles überwacht wird. Und wir versuchen weiter naiv &amp; gierig mit #Peking zu dealen &amp; verhökern Infrastruktur &amp; Knowhow. #China #XiJinping https://t.co/yrC8CpufbD",de,Retweet
JorRausch,"“… Otro tema que #Taiana abordó con la delegación de la compañía china es la posible cooperación en materia de producción de explosivos con fines civiles y militares, a lo que se suma provisión de telas especiales para uniformes”.

“El acercamiento al régimen de #XiJinping se… https://t.co/95m6xI3rb3 https://t.co/qRh4zCnOCF",es,Reply
lobopincha,RT @SputnikMundo : AMLO presume pruebas de que el #fentanilo viene de #China y enviará otra carta a #XiJinping https://t.co/cqaXymULxu https://t.co/br5tD73pAH,es,Retweet
thestranger515,"Xl Jinping’s Communist #China 🇨🇳 2023

A #CCP #Rapist in communist #china caught on camera while committing Rape. A Little Bit Of #Rape is OK 👌 In Communist China if Your in The #CCP 

#WhereIsPengShuai ?  

#XiJinping Where Is PENG SHUAI  ? 
 
https://t.co/c3JP7n6ao3",en,Tweet
RealPhatsBlog,"Experts: China Finds Threat in Latest Move By US-South Korea Alliance  
#AsiaPacific #Sanctions #KoreanPeninsula #SouthKorea #NorthKorea #China #Disarmament #Denuclearization #XiJinping #KimJongUn #Pyongyang #ICBMs #AUKUS #MissileTests
https://t.co/i6a2z3U8DT",en,Tweet
