Screen Name,Text,Language,Tweet Type
MarianKamensky1,"PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Tweet
lsc2020316,"美国官员誓言打击中共迫害在本国寻求庇护的民主活动人士和网络巨魔 
#StopTheCCP #FreeMilesGuo #China #XiJinping #CommunistParty #milesguo #CCP #中国 #习近平 #共产党 https://t.co/2okvxpSqPP",zh,Tweet
TibetPeople,"Prigozhin's private army #Wagner group #PMC has cleanup all Russian criminals in its prison cells &amp; sent to Ukraine,now declared permissible all dead.

#FreeUkraine #FreeCrimea #FreeTibet #XiJinping #US #RussiaIsLosing #AUS #NATO #EU #UN #RussiaIsATerroristState #PutinWarCriminal https://t.co/SKFsgn01cW",en,Tweet
thecfhk,"""But it does give an indication of what the #CCP actually thinks about us because, while he may or may not be a significant figure in #XiJinping's court, he was actually the guy responsible for policy on #HongKong.""",en,Reply
lsc2020316,"Last month, USCIRF (United States Commission on International Religious Freedom) Chairman Nury Turkel testified at the Select Committee’s hearing on the CCP’s ongoing Uyghur genocide.

#FreeMilesGuo #China #XiJinping #CommunistParty #milesguo #CCP #中国 #习近平 #维吾尔族 #人权 https://t.co/6U9Z5ALtL3",en,Tweet
choyleva,"4/6 In particular, we worry that #XiJinping's #Moscow visit and flurry of diplomatic activity to lure the Global South show a growing conviction that engaging with the #US would not bring any benefit to #China.
@EnodoEconomics",en,Reply
EnodoEconomics,"4/6 In particular, we worry that #XiJinping's #Moscow visit and flurry of diplomatic activity to lure the Global South show a growing conviction that engaging with the #US would not bring any benefit to #China.",en,Reply
chlzidechch1,"#习近平 #XiJinping #Jining学习时代
中国星辰｜攻坚克难、追求卓越 习近平这样推动航天高质量发展 https://t.co/QUqTJz3isU",zh,Tweet
lsc2020316,"A honey trap carefully laid out for decades - How was Anthony Fauci captured by the CCP?
EP03. the Fauci case is just the tip of the iceberg

#FreeMilesGuo #China #XiJinping #CommunistParty #milesguo #CCP #中国 #习近平 #病毒 #共产党 #福奇 https://t.co/yGihYhVtWf",en,Tweet
chlzidechch1,"#习近平 #XiJinping #Jining学习时代
中国星辰｜攻坚克难、追求卓越 习近平这样推动航天高质量发展 https://t.co/NQ0zIQm5Ea",zh,Tweet
Chineinfocom,"📺Chaque semaine, la rédaction fait un focus sur les #programmes #TV sur le thème de la #Chine. #Paektu #montagne #piano #XiJinping #TsuiHark #films #cinéma #voyage #Mao #Confucius #baguette #Wuhan #kungfu #documentaires #culture #histoire #replay #Arte
https://t.co/GBWDdxze4V",fr,Tweet
lsc2020316,"CCP owns 353 acres in the US, valued at $2B, close to sensitive military sites. Food security concerns.

#FreeMilesGuo #FreeYvetteWang 
 #China #XiJinping #CommunistParty #milesguo #CCP #中国 #习近平 #共产党 https://t.co/jk7ZWwjF8j",en,Tweet
ChinasCanada,"@TheYetiKnowswhy @Ajay_Bagga Once #XiJinping #BRI and #PolarSilkRoad are completed the ENTIRE 🌎 will be indebted to the #WhinnieThePoohRegime for supply chain management, logistics, manufacturing.

We can't let our leaders fail in the Asian Pacific theater as is predetermined.
https://t.co/VAOBZTMjiL https://t.co/bX3uwarn8H",en,Reply
Maggiesdad34,"@WashTimes #Taiwan:
War does not solve #China's internal problems.
Missiles raining down on the big dam would make
the war a loss even if they won.
Risks for #XiJinping are also real.

tt:@gen_jackkeane",en,Reply
CGTNOfficial,#XiJinping stressed speeding up building of modern industrial system https://t.co/9QabTXGxQW,en,Tweet
YXiusheng,Thursday marks China's Youth Day. President Xi Jinping attaches great importance to the growth of youth and particularly urges the young people to contribute to national rejuvenation. Here are some highlights of his quotes on youth. #XiJinping https://t.co/0ne5xOgyN6,en,Tweet
YXiusheng,Thursday marks China's Youth Day. President Xi Jinping attaches great importance to the growth of youth and particularly urges the young people to contribute to national rejuvenation. Here are some highlights of his quotes on youth. #XiJinping https://t.co/h4n7FsRCsq,en,Tweet
JayOSullivan71,"@ChinaChatShow @USAmbChina @POTUS Who ever said ""Divide &amp; Conquer"" would blush at the 4th party's anonymity in the face of GLOBAL THERMAL NUCLEAR WARFARE.

Strike the instigator, not there victims.

#DonaldJTrump #XiJinping  #VladimirPutin Religion &amp; Governments that are hijacked should be freed, not #Genocided https://t.co/fCkPsqAnvE",en,Reply
AVMagainstEVM,"@Suhelseth @DrSJaishankar Ha...Ha....

See the video you have uploaded from the beginning again....

Even Bhutto came with only Namaste - not to shake hands - and #JaiShankar's response was just a reciprocation....

NO ORGASM needed....

Show some video of #Modi or Jaishankar handling #XiJinping...?? https://t.co/77PaQWSZ0X",en,Reply
Chnia_XiJinPing,@DekuKing1 MEME,en,Reply
vangelofreebird,"Sobre a contraofensiva e o contexto internacional https://t.co/4fIbko39Gj 
#drones #Kremlin #Ucrania #Russia #Vaticano #Brasil #Lula #XiJinping #Zelensky #NATO",es,Tweet
Chnia_XiJinPing,@laoyu123123 饭否,ja,Reply
cgtnenespanol,"En la primera reunión de la XX Comisión Central de Asuntos Económicos y Financieros, el presidente chino, Xi Jinping, urgió a acelerar la construcción de sistema industrial moderno que apoye el camino de #China hacia la modernización de alta calidad. #XiJinping #EconomíaChina https://t.co/8OL54XTLx2",es,Tweet
NATOlizer,INDOPACIFIC YANG DILUPAKAN OPUNG?! XIJINPING DAN PUTIN SIAPKAN STRATEGI EKSPANSI !! - Mardigu Wowiek https://t.co/2OWiUR6C6y https://t.co/pKiWjnrbUi,in,Tweet
jintsumi_ltd,"習唯呢 白紙_胸章販售
白紙運動
露天販售 https://t.co/Woe02uLefl
蝦皮販售 https://t.co/ZNfVe2mRZA
#習近平 #習維尼 #習維尼萬歲 #習唯呢 #習近平小熊維尼 #維尼 #WinnieXi #XiJinping https://t.co/FzEaveYtcU",zh,Tweet
AlarmChina,"""#Taiyuan #Pastors 
Told to Teach #Christians to “Always Follow the Party” https://t.co/NojtuI5Rzr… 

A plan for #church activities hardly incl anything #Christian, &amp; calls f studying and teaching the works of
#Marx &amp; #XiJinping, &amp; #CCP official documents.""

#ChristiansInChina https://t.co/IORk6XKzYO",en,Tweet
